Product Name,Product Link,Image URL,Price,Original Price,Discount
Women A-line Gold Midi/Calf Length Dress,https://www.flipkart.com/twirl-tales-women-a-line-gold-midi-calf-length-dress/p/itm39ae65e2c81c0?pid=DREG89256JH6MUQD&lid=LSTDREG89256JH6MUQDIKCVAW&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_33&otracker=browse&fm=organic&iid=3ca53473-8aca-4c18-93cf-35165e6bfb34.DREG89256JH6MUQD.SEARCH&ppt=None&ppn=None&ssid=kmeapawicg0000001747544584589,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/3/g/l/xxl-elegant12-presha-original-imah73z8wb7m7zua.jpeg?q=70,₹679,"₹1,899",64% off
Women Fit and Flare Pink Midi/Calf Length Dress,https://www.flipkart.com/metronaut-women-fit-flare-pink-midi-calf-length-dress/p/itm2c088f24c2aad?pid=DREH9TV35GMDR8GZ&lid=LSTDREH9TV35GMDR8GZQVIHGR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_35&otracker=browse&fm=organic&iid=en_UFOQ6lOAULEjZ6wZP-fe3dZRjqVaK7Xm3h42e5iC4yDuDjkkM4Y1zyB0PJtmTnmCghwcNEByK_6A8kC4_PjF8w%3D%3D&ppt=None&ppn=None&ssid=kmeapawicg0000001747544584589,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/v/d/m/xxl-15068-sheetal-associates-original-imah2rfkh7eumsdu.jpeg?q=70,₹407,"₹1,999",79% off
Women Layered Pink Midi/Calf Length Dress,https://www.flipkart.com/handsome-king-women-layered-pink-midi-calf-length-dress/p/itm2c9d71abf11fb?pid=DREH3FVGCQ9GVHJY&lid=LSTDREH3FVGCQ9GVHJYZAUTQA&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_39&otracker=browse&fm=organic&iid=3ca53473-8aca-4c18-93cf-35165e6bfb34.DREH3FVGCQ9GVHJY.SEARCH&ppt=None&ppn=None&ssid=kmeapawicg0000001747544584589,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/q/g/p/s-msku2022nb-manisukmi-fashion-original-imah52ejgqay92jq.jpeg?q=70,₹345,"₹1,349",74% off
Women Bodycon Purple Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/street9-women-bodycon-purple-above-knee-mid-thigh-length-dress/p/itma95c11fdae1f1?pid=DREGN8RMZHRVADF2&lid=LSTDREGN8RMZHRVADF2EQGR2S&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_40&otracker=browse&fm=organic&iid=3ca53473-8aca-4c18-93cf-35165e6bfb34.DREGN8RMZHRVADF2.SEARCH&ppt=None&ppn=None&ssid=kmeapawicg0000001747544584589,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/e/4/x/xl-3470-buynewtrend-original-imaharg2nqhw6vcq.jpeg?q=70,₹407,"₹1,999",79% off
Women Fit and Flare Pink Ankle Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-pink-ankle-length-dress/p/itmc98fdf280ffca?pid=DREH8WZYA2FXMDGP&lid=LSTDREH8WZYA2FXMDGPLNWZYM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_r_V579lHcFB5_AyxMRccq_Ebfh0TLYaV4Pdtqg-8DXbTiqH6mNJhHhMXHQEHabHRdCe5Hy6dGzId9kK1JSlG3w%3D%3D&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/v/6/m/xl-15064-honky-tonky-original-imah5dxq9vgkjyjx.jpeg?q=70,₹407,"₹1,999",79% off
Women Fit and Flare Blue Maxi/Full Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-blue-maxi-full-length-dress/p/itm4bb850ed77a67?pid=DREH2D6QUAZB8WKT&lid=LSTDREH2D6QUAZB8WKTG4X5O9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH2D6QUAZB8WKT.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/i/q/w/xxl-mj-7133-manojava-original-imahc6hj9mt7cfym.jpeg?q=70,₹448,"₹1,499",70% off
Women Fit and Flare Black Midi/Calf Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-black-midi-calf-length-dress/p/itma8d6861c81c56?pid=DREH5YFAFRPFBZ5W&lid=LSTDREH5YFAFRPFBZ5WXOJB7I&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH5YFAFRPFBZ5W.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/g/j/b/xl-mj-7132-manojava-original-imah7gyxycdezgss.jpeg?q=70,₹299,"₹1,999",85% off
Women Bodycon Yellow Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/aayu-women-bodycon-yellow-above-knee-mid-thigh-length-dress/p/itm8fcaebb44b4e9?pid=DREGGY5TFK3V6SXC&lid=LSTDREGGY5TFK3V6SXCI75M73&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREGGY5TFK3V6SXC.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/l/f/f/l-551-metronaut-original-imah9tvkvg6z28ev.jpeg?q=70,₹345,"₹1,999",82% off
Women Fit and Flare Blue Below Knee Dress,https://www.flipkart.com/manojava-women-fit-flare-blue-below-knee-dress/p/itm4f3e33af2b3d1?pid=DREH6A7BAZ2M3CEV&lid=LSTDREH6A7BAZ2M3CEVYCIGZ9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_10&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH6A7BAZ2M3CEV.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/n/x/a/xxl-maternity-gujari-original-imahybhmgx4zkevg.jpeg?q=70,₹494,"₹3,999",87% off
Women Fit and Flare Blue Midi/Calf Length Dress,https://www.flipkart.com/presha-women-fit-flare-blue-midi-calf-length-dress/p/itm850da18aa6bc9?pid=DREH89G5ZTZWCQZQ&lid=LSTDREH89G5ZTZWCQZQTOB8XE&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH89G5ZTZWCQZQ.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/z/7/j/m-9251-tandul-original-imah4eds5vhdpbnt.jpeg?q=70,₹480,"₹1,899",74% off
Women Bodycon Purple Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/tokyo-talkies-women-bodycon-purple-above-knee-mid-thigh-length-dress/p/itm33a8f76573655?pid=DREGP2F6RZAWJYHV&lid=LSTDREGP2F6RZAWJYHVLODUAT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_19&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREGP2F6RZAWJYHV.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/n/0/d/m-11kiyarafour-handsome-king-original-imahakt48zqpxzjd.jpeg?q=70,₹498,"₹2,499",80% off
"Women Fit and Flare Dark Blue, Brown, White Maxi/Full L...",https://www.flipkart.com/fashion2wear-women-fit-flare-dark-blue-brown-white-maxi-full-length-dress/p/itm45d30c0a464e5?pid=DREGQ3SAST4GXMFH&lid=LSTDREGQ3SAST4GXMFHBHJG52&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_21&otracker=browse&fm=organic&iid=en_r_V579lHcFB5_AyxMRccq_Ebfh0TLYaV4Pdtqg-8DXby9Sp7xNNumY7fmJt_CQGMReRgw86eAHT7OMsnOvj-RA%3D%3D&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/f/5/g/xs-1001-new-d-zwerlon-original-imah2qgwfgbh8aza.jpeg?q=70,₹448,"₹1,699",73% off
Women Ruffled Red Maxi/Full Length Dress,https://www.flipkart.com/buynewtrend-women-ruffled-red-maxi-full-length-dress/p/itm352044737efc7?pid=DREH5YZZFYBMZZSR&lid=LSTDREH5YZZFYBMZZSRMDGNFS&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_28&otracker=browse&fm=organic&iid=en_r_V579lHcFB5_AyxMRccq_Ebfh0TLYaV4Pdtqg-8DXYT698Kxirmv6XxBtdvFD3e7wNYz8v21GaYFb34ivfqAQ%3D%3D&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/v/e/l/l-wini-106-purvaja-original-imah6xgwffcvffws.jpeg?q=70,₹497,"₹1,599",68% off
Women Bodycon Multicolor Maxi/Full Length Dress,https://www.flipkart.com/tandul-women-bodycon-multicolor-maxi-full-length-dress/p/itmceee7d222934d?pid=DREH4EDSG4HPN6MS&lid=LSTDREH4EDSG4HPN6MSSEEVCT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_30&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH4EDSG4HPN6MS.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/s/t/g/xs-8001-zwerlon-original-imah242wgkhvg2rk.jpeg?q=70,₹353,"₹1,349",73% off
Women Fit and Flare Pink Midi/Calf Length Dress,https://www.flipkart.com/metronaut-women-fit-flare-pink-midi-calf-length-dress/p/itm2c088f24c2aad?pid=DREH9TV35GMDR8GZ&lid=LSTDREH9TV35GMDR8GZQVIHGR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_32&otracker=browse&fm=organic&iid=en_r_V579lHcFB5_AyxMRccq_Ebfh0TLYaV4Pdtqg-8DXYIFaXDzT7KSuTlP1HXIif-A_zJO3nXgGfatHOIl16t9w%3D%3D&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/e/p/z/xs-7001-zwerlon-original-imahf5tycrgqpb27.jpeg?q=70,₹473,₹999,52% off
Women Layered Pink Midi/Calf Length Dress,https://www.flipkart.com/handsome-king-women-layered-pink-midi-calf-length-dress/p/itm2c9d71abf11fb?pid=DREH3FVGCQ9GVHJY&lid=LSTDREH3FVGCQ9GVHJYZAUTQA&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&spotlightTagId=default_BestsellerId_clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_33&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH3FVGCQ9GVHJY.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/x/u/k/-original-imah9nbtzgyt46gh.jpeg?q=70,₹445,"₹1,349",67% off
Women Fit and Flare Dark Blue Midi/Calf Length Dress,https://www.flipkart.com/gujari-women-fit-flare-dark-blue-midi-calf-length-dress/p/itm156fda19c5300?pid=DREGQD4X6VNQHCZW&lid=LSTDREGQD4X6VNQHCZWQNBFPC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_35&otracker=browse&fm=organic&iid=en_r_V579lHcFB5_AyxMRccq_Ebfh0TLYaV4Pdtqg-8DXZelJcwgEBO8u0wtmQ11BuelW1etGNW5u04X5RMNGh9rQ%3D%3D&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/3/n/w/xl-kttdress244-kotty-original-imah5msgjvxkwgkx.jpeg?q=70,₹430,"₹1,599",73% off
Women Bodycon Brown Below Knee Dress,https://www.flipkart.com/kotty-women-bodycon-brown-below-knee-dress/p/itm09d7cc55ae5e9?pid=DREH5MSJHCJQFAGB&lid=LSTDREH5MSJHCJQFAGBCETE51&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_39&otracker=browse&fm=organic&iid=67f49570-2f36-467f-bea9-3a284996a5b7.DREH5MSJHCJQFAGB.SEARCH&ppt=None&ppn=None&ssid=80m5pkjomo0000001747544587429,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/u/k/v/s-1001-new-d-zwerlon-original-imah2qgw95hrshvj.jpeg?q=70,₹408,"₹1,999",79% off
Women Fit and Flare Pink Ankle Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-pink-ankle-length-dress/p/itmc98fdf280ffca?pid=DREH8WZYA2FXMDGP&lid=LSTDREH8WZYA2FXMDGPLNWZYM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_5&otracker=browse&fm=organic&iid=en_YGwNGFThYqHGNhwTvePf5U-aD13tefznmli5o5tziiS3x3XdjkMnw7Bj6MTPHfWTdC1n4cY-XSjzzwLIsWXmUw%3D%3D&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/l/3/xxl-6101-sheetal-associates-original-imagmnemtrdhgrnc.jpeg?q=70,₹379,"₹2,899",86% off
Women Fit and Flare Blue Maxi/Full Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-blue-maxi-full-length-dress/p/itm4bb850ed77a67?pid=DREH2D6QUAZB8WKT&lid=LSTDREH2D6QUAZB8WKTG4X5O9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH2D6QUAZB8WKT.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/r/v/c/xs-gl512-glamalue-original-imah9mfgx2pg6sne.jpeg?q=70,₹439,"₹1,999",78% off
Women Fit and Flare Black Midi/Calf Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-black-midi-calf-length-dress/p/itma8d6861c81c56?pid=DREH5YFAFRPFBZ5W&lid=LSTDREH5YFAFRPFBZ5WXOJB7I&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH5YFAFRPFBZ5W.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/d/c/xs-ttj6008724-tokyo-talkies-original-imags57uyph2fgmq.jpeg?q=70,₹498,"₹2,499",80% off
Women Bodycon Yellow Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/aayu-women-bodycon-yellow-above-knee-mid-thigh-length-dress/p/itm8fcaebb44b4e9?pid=DREGGY5TFK3V6SXC&lid=LSTDREGGY5TFK3V6SXCI75M73&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_9&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREGGY5TFK3V6SXC.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/b/6/k/na-xxl-full-sleeve-stitched-ss-224-04-femvy-na-original-imah8uhgrbk3b4ag.jpeg?q=70,₹339,₹999,66% off
Women Fit and Flare Blue Below Knee Dress,https://www.flipkart.com/manojava-women-fit-flare-blue-below-knee-dress/p/itm4f3e33af2b3d1?pid=DREH6A7BAZ2M3CEV&lid=LSTDREH6A7BAZ2M3CEVYCIGZ9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH6A7BAZ2M3CEV.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/b/j/n/xxl-dr11275-sheetal-associates-original-imah2xccygcgjyvv.jpeg?q=70,₹304,"₹1,599",80% off
Women Fit and Flare Blue Midi/Calf Length Dress,https://www.flipkart.com/presha-women-fit-flare-blue-midi-calf-length-dress/p/itm850da18aa6bc9?pid=DREH89G5ZTZWCQZQ&lid=LSTDREH89G5ZTZWCQZQTOB8XE&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_14&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH89G5ZTZWCQZQ.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/p/l/v/xl-re-100-raiyani-enterprise-original-imah47pazzacakxb.jpeg?q=70,₹398,"₹1,499",73% off
"Women Fit and Flare Dark Blue, Brown, White Maxi/Full L...",https://www.flipkart.com/fashion2wear-women-fit-flare-dark-blue-brown-white-maxi-full-length-dress/p/itm45d30c0a464e5?pid=DREGQ3SAST4GXMFH&lid=LSTDREGQ3SAST4GXMFHBHJG52&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_17&otracker=browse&fm=organic&iid=en_YGwNGFThYqHGNhwTvePf5U-aD13tefznmli5o5tziiQjXppLVDbQPcSvVu8uFlQ8x8t69bC6LJy5rT1GUWxBwg%3D%3D&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/s/c/p/na-xl-3-4-sleeve-stitched-ss1-75-04-femvy-na-original-imah5yf3wab438yw.jpeg?q=70,₹348,₹999,65% off
Women Bodycon Purple Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/tokyo-talkies-women-bodycon-purple-above-knee-mid-thigh-length-dress/p/itm33a8f76573655?pid=DREGP2F6RZAWJYHV&lid=LSTDREGP2F6RZAWJYHVLODUAT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_20&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREGP2F6RZAWJYHV.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/w/w/l-aa-0163-yellow-somoking-dress-aayu-original-imaggy5pzgtzd9f5.jpeg?q=70,₹478,"₹1,899",74% off
Women Ruffled Red Maxi/Full Length Dress,https://www.flipkart.com/buynewtrend-women-ruffled-red-maxi-full-length-dress/p/itm352044737efc7?pid=DREH5YZZFYBMZZSR&lid=LSTDREH5YZZFYBMZZSRMDGNFS&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_27&otracker=browse&fm=organic&iid=en_YGwNGFThYqHGNhwTvePf5U-aD13tefznmli5o5tziiSrJQYJ9TiLxZyYiu3rgb9J7wNYz8v21GaYFb34ivfqAQ%3D%3D&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/8/u/a/na-xxl-3-4-sleeve-stitched-ss0095-femvy-na-original-imagwsfh4q5aygmy.jpeg?q=70,₹478,"₹1,899",74% off
Women Fit and Flare Pink Midi/Calf Length Dress,https://www.flipkart.com/metronaut-women-fit-flare-pink-midi-calf-length-dress/p/itm2c088f24c2aad?pid=DREH9TV35GMDR8GZ&lid=LSTDREH9TV35GMDR8GZQVIHGR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_31&otracker=browse&fm=organic&iid=en_YGwNGFThYqHGNhwTvePf5U-aD13tefznmli5o5tziiR837d60xmA2XbsztcJz_9vA_zJO3nXgGfatHOIl16t9w%3D%3D&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-dress/g/l/k/m-7191shopsy-sheetal-associates-original-imah35wr5hvtbgcr.jpeg?q=70,₹429,"₹1,499",71% off
Women Fit and Flare Dark Blue Midi/Calf Length Dress,https://www.flipkart.com/gujari-women-fit-flare-dark-blue-midi-calf-length-dress/p/itm156fda19c5300?pid=DREGQD4X6VNQHCZW&lid=LSTDREGQD4X6VNQHCZWQNBFPC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_32&otracker=browse&fm=organic&iid=en_YGwNGFThYqHGNhwTvePf5U-aD13tefznmli5o5tziiSjiKO_-6xJZDoQ2XMC9O28lW1etGNW5u04X5RMNGh9rQ%3D%3D&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/v/c/c/s-jb-dress-036-jaipuri-bunaai-original-imagzhffkpauj5y8.jpeg?q=70,₹416,"₹1,499",72% off
Women Bodycon Multicolor Maxi/Full Length Dress,https://www.flipkart.com/tandul-women-bodycon-multicolor-maxi-full-length-dress/p/itmceee7d222934d?pid=DREH4EDSG4HPN6MS&lid=LSTDREH4EDSG4HPN6MSSEEVCT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_33&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH4EDSG4HPN6MS.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/l/5/q/s-mj-7107-manojava-original-imah6a7a9tyvd94q.jpeg?q=70,₹451,"₹1,499",69% off
Women Layered Pink Midi/Calf Length Dress,https://www.flipkart.com/handsome-king-women-layered-pink-midi-calf-length-dress/p/itm2c9d71abf11fb?pid=DREH3FVGCQ9GVHJY&lid=LSTDREH3FVGCQ9GVHJYZAUTQA&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_34&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH3FVGCQ9GVHJY.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/e/1/m-elegant12-presha-original-imah8ajefnx7ba5k.jpeg?q=70,₹442,"₹1,250",64% off
Women Bodycon Brown Below Knee Dress,https://www.flipkart.com/kotty-women-bodycon-brown-below-knee-dress/p/itm09d7cc55ae5e9?pid=DREH5MSJHCJQFAGB&lid=LSTDREH5MSJHCJQFAGBCETE51&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_40&otracker=browse&fm=organic&iid=c5835bf4-4fda-433e-a184-d6d0062c17cb.DREH5MSJHCJQFAGB.SEARCH&ppt=None&ppn=None&ssid=myqvi4rbsg0000001747544590356,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/b/s/s-o-906-j-turritopsis-original-imah4k9ymz4dagtj.jpeg?q=70,₹398,"₹1,999",80% off
Women Fit and Flare Pink Ankle Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-pink-ankle-length-dress/p/itmc98fdf280ffca?pid=DREH8WZYA2FXMDGP&lid=LSTDREH8WZYA2FXMDGPLNWZYM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_2&otracker=browse&fm=organic&iid=en_9X_v49flZdXkdDgCbI7w3vn6WYstDW1a6BZpUnmSLP-4JKEhkKbIAg3Y1mTkmUDZdCe5Hy6dGzId9kK1JSlG3w%3D%3D&ppt=None&ppn=None&ssid=abesvqh09c0000001747544592734,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/8/f/c/s-aa-0158maroon-pleated-neack-dress-aayu-original-imagg7h5ynthgcay.jpeg?q=70,₹455,"₹3,299",86% off
Women Fit and Flare Blue Maxi/Full Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-blue-maxi-full-length-dress/p/itm4bb850ed77a67?pid=DREH2D6QUAZB8WKT&lid=LSTDREH2D6QUAZB8WKTG4X5O9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_7&otracker=browse&fm=organic&iid=1c6b7d76-e270-411d-b594-d39f779a699a.DREH2D6QUAZB8WKT.SEARCH&ppt=None&ppn=None&ssid=abesvqh09c0000001747544592734,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/q/n/d/xxl-f-b-flower-fashion2wear-original-imah2p63qazkgmrn.jpeg?q=70,₹411,"₹1,999",79% off
Women Fit and Flare Black Midi/Calf Length Dress,https://www.flipkart.com/jash-creation-women-fit-flare-black-midi-calf-length-dress/p/itma8d6861c81c56?pid=DREH5YFAFRPFBZ5W&lid=LSTDREH5YFAFRPFBZ5WXOJB7I&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_8&otracker=browse&fm=organic&iid=1c6b7d76-e270-411d-b594-d39f779a699a.DREH5YFAFRPFBZ5W.SEARCH&ppt=None&ppn=None&ssid=abesvqh09c0000001747544592734,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/u/6/0/m-htdrss11624-honky-tonky-original-imah7jm2xaz2h24w.jpeg?q=70,₹433,"₹2,999",85% off
Women Bodycon Yellow Above Knee/Mid Thigh Length Dress,https://www.flipkart.com/aayu-women-bodycon-yellow-above-knee-mid-thigh-length-dress/p/itm8fcaebb44b4e9?pid=DREGGY5TFK3V6SXC&lid=LSTDREGGY5TFK3V6SXCI75M73&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_9&otracker=browse&fm=organic&iid=1c6b7d76-e270-411d-b594-d39f779a699a.DREGGY5TFK3V6SXC.SEARCH&ppt=None&ppn=None&ssid=abesvqh09c0000001747544592734,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/z/d/k/s-dr11264-sheetal-associates-original-imah2xccfsvqwam7.jpeg?q=70,₹336,"₹1,999",83% off
Women Fit and Flare Blue Below Knee Dress,https://www.flipkart.com/manojava-women-fit-flare-blue-below-knee-dress/p/itm4f3e33af2b3d1?pid=DREH6A7BAZ2M3CEV&lid=LSTDREH6A7BAZ2M3CEVYCIGZ9&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_13&otracker=browse&fm=organic&iid=1c6b7d76-e270-411d-b594-d39f779a699a.DREH6A7BAZ2M3CEV.SEARCH&ppt=None&ppn=None&ssid=abesvqh09c0000001747544592734,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/y/o/m-ttj6008051-tokyo-talkies-original-imagp2f6ygynah7y.jpeg?q=70,₹475,"₹1,999",76% off
